Reference, Value, Footprint, Datasheet, Category, DK_Detail_Page, Description, Digi-Key_PN, Family, MPN, Manufacturer, Status, DK_Datasheet_Link
"J1","54602-908LF","hovImuBoard:Ethernet_Jack_54602-908LF","","Connectors, Interconnects","/product-detail/en/amphenol-icc-fci/54602-908LF/609-1046-ND/1001360","CONN MOD JACK 8P8C R/A UNSHLD","609-1046-ND","Modular Connectors - Jacks","54602-908LF","Amphenol ICC (FCI)","Active",""
"C3","2.2uF","Capacitor_SMD:C_0805_2012Metric","http://www.samsungsem.com/kr/support/product-search/mlcc/CL21B225KAFNFNE.jsp","","","","1276-2953-1-ND","","CL21B225KAFNFNE","Samsung Electro-Mechanics","",""
"C4","1nF","Capacitor_SMD:C_0805_2012Metric","http://www.samsungsem.com/kr/support/product-search/mlcc/CL21B102KBANNNC.jsp","","","","1276-1020-1-ND","","CL21B102KBANNNC","Samsung Electro-Mechanics","",""
"C1","1uF","Capacitor_SMD:C_0805_2012Metric","http://www.samsungsem.com/kr/support/product-search/mlcc/CL21B105KAFNFNE.jsp","","","","1276-2926-1-ND","","CL21B105KAFNFNE","Samsung Electro-Mechanics","",""
"C2","68uF","Capacitor_Tantalum_SMD:CP_EIA-6032-20_AVX-F","http://datasheets.avx.com/TPM.pdf","","","","478-3640-1-ND","","TPME686M025R0045","AVX Corporation","",""
"XTAL1","8MHz","Crystal:Crystal_SMD_HC49-SD","https://abracon.com/Resonators/ABLS2.pdf","Crystals, Oscillators, Resonators","","8MHz ±30ppm Crystal 18pF 80 Ohms HC-49/US","535-9864-1-ND","Crystals","ABLS2-8.000MHZ-D4Y-T","Abracon LLC","Active",""
"U5","LSM9DS1TR","hovImuBoard:LGA-24_3x3.5mm_LSM9DS1","http://www.st.com/content/ccc/resource/technical/document/datasheet/1e/3f/2a/d6/25/eb/48/46/DM00103319.pdf/files/DM00103319.pdf/jcr:content/translations/en.DM00103319.pdf","Sensors, Transducers","/product-detail/en/stmicroelectronics/LSM9DS1TR/497-14946-1-ND/4988079","IMU ACCEL/GYRO/MAG I2C/SPI 24LGA","497-14946-1-ND","Motion Sensors - IMUs (Inertial Measurement Units)","LSM9DS1TR","STMicroelectronics","Active","http://www.st.com/content/ccc/resource/technical/document/datasheet/1e/3f/2a/d6/25/eb/48/46/DM00103319.pdf/files/DM00103319.pdf/jcr:content/translations/en.DM00103319.pdf"
"J2","1761681-1","hovImuBoard:TE_1761681-1","","","","","A122759-ND","","1761681-1","TE Connectivity AMP Connectors","",""
"J3","5104338-1","hovImuBoard:TE_5104338-1","","","","","A33175-ND","","5104338-1","TE Connectivity AMP Connectors","",""
"D1","ES1D","Diode_SMD:D_SMA","https://www.onsemi.com/pub/Collateral/ES1D-D.PDF","","","","ES1DFSCT-ND","","ES1D","ON Semiconductor","",""
"C6","1uF","Capacitor_SMD:C_0805_2012Metric","http://www.samsungsem.com/kr/support/product-search/mlcc/CL21B105KAFNFNE.jsp","","","","1276-2926-1-ND","","CL21B105KAFNFNE","Samsung Electro-Mechanics","",""
"U3","SN65HVD32DR","Package_SO:SO-8_3.9x4.9mm_P1.27mm","http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fsn65hvd30","","","","296-19627-1-ND","","SN65HVD32DR","Texas Instruments","",""
"C5","220nF","Capacitor_SMD:C_0805_2012Metric","http://www.samsungsem.com/kr/support/product-search/mlcc/CL21B224KBFNNNG.jsp","","","","1276-6478-1-ND","","CL21B224KBFNNNG","Samsung Electro-Mechanics","",""
"C9","18pF","Capacitor_SMD:C_0805_2012Metric","http://www.samsungsem.com/kr/support/product-search/mlcc/CL21C180JBANNNC.jsp","","","","1276-1107-1-ND","","CL21C180JBANNNC","Samsung Electro-Mechanics","",""
"C8","18pF","Capacitor_SMD:C_0805_2012Metric","http://www.samsungsem.com/kr/support/product-search/mlcc/CL21C180JBANNNC.jsp","","","","1276-1107-1-ND","","CL21C180JBANNNC","Samsung Electro-Mechanics","",""
"C7","220nF","Capacitor_SMD:C_0805_2012Metric","http://www.samsungsem.com/kr/support/product-search/mlcc/CL21B224KBFNNNG.jsp","","","","1276-6478-1-ND","","CL21B224KBFNNNG","Samsung Electro-Mechanics","",""
"R2","10k","Resistor_SMD:R_0805_2012Metric","http://www.vishay.com/docs/20035/dcrcwe3.pdf","","","","541-10.0KCCT-ND","","CRCW080510K0FKEA","Vishay Dale","",""
"U4","ATmega1284P-AU","Package_QFP:TQFP-44_10x10mm_P0.8mm","http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-8272-8-bit-AVR-microcontroller-ATmega164A_PA-324A_PA-644A_PA-1284_P_datasheet.pdf","","","IC MCU 8BIT 128KB FLASH 44TQFP","ATmega1284P-AU-ND","","ATmega1284P-AU","Microchip Technology","",""
"R1","150","Resistor_SMD:R_0805_2012Metric","https://www.seielect.com/catalog/sei-rncp.pdf","","","","RNCP0805FTD150RCT-ND","","RNCP0805FTD150R","Stackpole Electronics Inc","",""
"XTAL2","32.768kHz","Crystal:Crystal_SMD_3215-2Pin_3.2x1.5mm","https://abracon.com/Resonators/ABS07-120-32.768kHz-T.pdf","Crystals, Oscillators, Resonators","","32.768kHz ±20ppm Crystal 6pF 55 kOhms 2-SMD, No Lead","535-11937-1-ND","Crystals","ABS07-120-32.768KHZ-T","Abracon LLC","Active",""
